UID,mean.annual.flow,basin.area,max.basin.elevation,mean.basin.elevation,min.basin.elevation,range.basin.elevation,pct.ISC,tmax.annual,tmin.annual,pct.ag,pct.urb,pct.for
11257,341.08326,1011.332,478.212,370.255,323.712,154.5,1.384,12.17,-0.18,1.24,9.066,54.467
11258,1604.47207,6016.582,519.362,342.548,182.988,336.374,1.358,13.8,1.5,19.663,7.657,39.884
11259,1057.30337,3620.748,523.452,351.004,192.497,330.955,0.672,13.05,2.16,9.616,5.695,56.657
11260,43.97146,149.342,462.912,403.691,358.908,104.004,0.537,11.98,-0.26,6.96,8.536,53.458
11266,,,,,,,,,,,,
11279,233.62468,3142.86,591.554,467.895,401.861,189.693,0.775,12.83,1.11,82.824,5.871,0.773
11280,352.3475,2886.748,423.095,354.984,281.081,142.013,1.2,12.52,0.97,72.026,5.091,7.63
11282,8.20838,48.058,350.887,335.421,320.272,30.614,0.319,12.98,1.45,92.787,4.971,0.727
11285,316.26291,2715.699,392.344,328.502,287.106,105.239,1.592,12.69,1.32,84.644,5.817,3.192
11286,1180.9386,3568.497,478.212,372.475,279.731,198.482,1.407,12.74,0.02,2.071,9.179,58.513
11287,252.85361,2036.729,423.095,368.419,307.748,115.346,1.105,12.54,0.88,72.576,5.119,7.77
11288,108.43238,724.403,366.964,326.259,297.645,69.319,0.706,13.32,1.42,86.235,6.057,0.564
11296,2841.90597,38012.623,647.265,359.115,225.641,421.624,0.728,13.52,1.61,79.462,5.801,2.009
11297,2.14909,11.859,402.418,389.443,366.627,35.791,0.585,12.5,0.92,85.955,4.204,1.525
11299,7.22166,11.643,143.579,121.483,97.353,46.226,0.435,23.32,10.47,24.084,5.047,67.484
11300,3.76515,8.263,647.984,492.813,351.126,296.858,0.073,20.36,8.31,0,1.858,98.142
11301,93.71341,235.069,693.375,270.312,115.902,577.473,0.285,22.43,9.17,9.597,3.183,84.3
11302,3.08719,3.084,563.621,451.073,383.026,180.595,0.235,20.98,8.85,0,2.596,97.229
11303,1.47854,3.103,121.034,100.07,79.596,41.438,1.317,23.1,10.27,0,6.205,87.793
11307,3419.57406,42049.141,647.265,353.381,211.532,435.734,0.813,13.26,1.85,79.328,5.897,2.437
11309,4713.66623,15178.665,537.95,338.305,227.076,310.874,0.472,12.3,0.06,16.638,4.468,48.195
11310,7861.31874,44749.87,582.194,387.22,253.21,328.984,0.958,12.73,1.3,34.71,4.675,30.33
11311,12615.23421,94147.117,647.265,366.493,183.06,464.205,1.482,13.1,2.03,54.268,6.665,16.996
11314,214.55155,417.134,198.183,93.033,1.115,197.068,7.869,18.19,7.03,28.646,36.13,27.431
11315,,,,,,,,,,,,
11316,273.83828,574.595,37.398,12.563,-0.365,37.763,2.386,19.25,7.6,47.297,9.459,21.45
11317,,,,,,,,,,,,
11318,150.34133,315.461,23.495,13.736,1.349,22.146,1.534,19.21,7.45,49.496,7.124,20.617
11319,16.6499,12.929,58.681,38.552,23.537,35.145,19.91,25.07,14.18,1.399,86.146,6.774
11320,2.03403,0.942,82.345,57.852,42.593,39.752,0.017,25.73,12,0,0.383,35.407
11321,6732.66261,10761.4,204.943,92.09,0.082,204.861,0.512,25.4,13.78,12.61,4.374,57.489
11322,5670.52229,9138.082,210.989,92.24,12.091,198.898,0.937,25.68,12.39,22.084,6.188,46.29
